#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Cronobacter phage vB_CsaM_leE	1873954		0	dsDNA viruses, no RNA stage	Myoviridae	181.57	44.7	bacteria	KX443552.1	284	284	2017/05/10	2017/05/10	Complete Genome
Streptomyces phage Brataylor	1873994		0	dsDNA viruses, no RNA stage	Siphoviridae	51.067	65.7	bacteria	KX507345.1	77	77	2016/09/21	2016/09/21	Complete Genome
Streptomyces phage Godpower	1873995		0	dsDNA viruses, no RNA stage	Siphoviridae	50.701	65.7	bacteria	KX507344.1	76	76	2016/09/21	2016/09/21	Complete Genome
Streptomyces phage Lorelei	1873996		0	dsDNA viruses, no RNA stage	Siphoviridae	50.558	65.8	bacteria	KX507343.1	75	75	2016/09/21	2016/09/21	Complete Genome
Vibrio phage 1	187944		0	dsDNA viruses, no RNA stage	Siphoviridae	81.509	46.9	bacteria	JF713456.1	-	125	2012/03/23	2012/03/29	Complete Genome
Tenacibaculum phage pT24	1880590		0	unclassified phages	unclassified	234.67	28.7	bacteria	LC168164.1	300	297	2016/07/23	2017/05/11	Complete Genome
Escherichia phage ESCO13	1881104		0	dsDNA viruses, no RNA stage	Myoviridae	149.813	39.1	bacteria	KX552041.2	291	281	2016/10/07	2017/02/08	Complete Genome
Mycobacterium phage LittleGuy	1881139		0	dsDNA viruses, no RNA stage	Siphoviridae	51.178	63.9	bacteria	KX550441.1	88	88	2016/10/08	2017/12/05	Complete Genome
Mycobacterium phage Badger	1881140		0	dsDNA viruses, no RNA stage	Siphoviridae	51.274	63.7	bacteria	KX550442.1	85	85	2016/10/08	2017/12/05	Complete Genome
Mycobacterium phage Magnito	1881141		0	dsDNA viruses, no RNA stage	Siphoviridae	51.743	63.8	bacteria	KX550443.1	92	92	2016/10/08	2016/10/08	Complete Genome
Klebsiella phage vB_KpnP_KpV763	1882400		0	dsDNA viruses, no RNA stage	Podoviridae	40.765	53.2	bacteria	KX591654.1	49	49	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Fortunato	1882439		0	dsDNA viruses, no RNA stage	Siphoviridae	70.679	69	bacteria	KX589269.1	94	94	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Jane	1882465		0	dsDNA viruses, no RNA stage	Siphoviridae	41.901	66.6	bacteria	KX588251.1	63	63	2016/10/08	2016/10/08	Complete Genome
Cronobacter phage vB_CsaM_leB	1885242		0	dsDNA viruses, no RNA stage	Myoviridae	177.907	44.9	bacteria	KX431559.1	280	280	2017/05/10	2017/05/10	Complete Genome
Cronobacter phage vB_CsaM_leN	1885245		0	dsDNA viruses, no RNA stage	Myoviridae	179.516	44.9	bacteria	KX431560.1	286	286	2017/05/10	2017/05/10	Complete Genome
Rhodococcus phage ChewyVIII	1887657		0	dsDNA viruses, no RNA stage	Siphoviridae	69.165	61.8	bacteria	KX557288.1	95	95	2016/09/14	2017/06/21	Complete Genome
Mycobacterium phage TBond007	1897424		0	dsDNA viruses, no RNA stage	Siphoviridae	61.145	67.3	bacteria	KX683428.1	97	97	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Bigfoot	1897425		0	dsDNA viruses, no RNA stage	Siphoviridae	51.646	63.7	bacteria	KX702320.1	87	87	2016/09/21	2016/09/21	Complete Genome
Arthrobacter phage Greenhouse	1897428		0	dsDNA viruses, no RNA stage	Siphoviridae	43.977	60.8	bacteria	KX688103.1	61	61	2016/11/02	2016/11/02	Complete Genome
Arthrobacter phage Oxynfrius	1897429		0	dsDNA viruses, no RNA stage	Siphoviridae	44.163	60.8	bacteria	KX688102.1	62	62	2016/11/02	2016/11/02	Complete Genome
Klebsiella phage vB_KpnP_KpV767	1897430		0	dsDNA viruses, no RNA stage	Podoviridae	40.395	52.3	bacteria	KX712070.1	52	52	2016/11/02	2016/11/02	Complete Genome
Klebsiella phage vB_KpnP_KpV766	1897431		0	dsDNA viruses, no RNA stage	Myoviridae	41.283	52.6	bacteria	KX712071.1	50	50	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage Erdmann	1897432		0	dsDNA viruses, no RNA stage	Myoviridae	155.565	64.7	bacteria	KX721256.1	269	233	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage Yucca	1897433		0	dsDNA viruses, no RNA stage	Myoviridae	155.582	64.7	bacteria	KX721255.1	268	232	2016/11/02	2016/11/02	Complete Genome
Serratia phage SM9-3Y	1897434		0	dsDNA viruses, no RNA stage	Podoviridae	39.631	-	bacteria	-	-	-	-	-	Complete Genome
Mycobacterium phage Gabriel	1897435		0	dsDNA viruses, no RNA stage	Myoviridae	154.474	64.8	bacteria	KX781992.1	269	233	2016/11/02	2016/11/02	Complete Genome
Salinivibrio phage SMHB1	1897436		0	unclassified phages	unclassified	32.826	50.8	bacteria	KX774374.1	49	49	2016/10/29	2016/10/29	Complete Genome
Rhodococcus phage Weasels2	1897437		0	dsDNA viruses, no RNA stage	Siphoviridae	134.973	41.3	bacteria	KX774321.1	293	283	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage PhancyPhin	1897438		0	dsDNA viruses, no RNA stage	Siphoviridae	42.454	66.1	bacteria	KX756439.1	69	69	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage Jaan	1897439		0	dsDNA viruses, no RNA stage	Siphoviridae	52.462	63.2	bacteria	KX758539.1	91	90	2016/11/19	2017/12/05	Complete Genome
Mycobacterium phage Kerberos	1897440		0	dsDNA viruses, no RNA stage	Siphoviridae	52.753	63.5	bacteria	KX758538.1	93	93	2016/11/19	2017/12/05	Complete Genome
Rhodococcus phage Partridge	1897441		0	dsDNA viruses, no RNA stage	Siphoviridae	46.962	58.8	bacteria	KX712237.1	69	66	2016/11/02	2016/11/02	Complete Genome
Rhodococcus phage Yogi	1897442		0	dsDNA viruses, no RNA stage	Siphoviridae	46.93	58.8	bacteria	KX712236.1	69	66	2016/11/02	2016/11/02	Complete Genome
Escherichia phage JSS1	1897443		0	dsDNA viruses, no RNA stage	Podoviridae	39.024	49.9	bacteria	KX689784.2	-	45	2016/11/02	2017/04/24	Complete Genome
Mycobacterium phage Marcoliusprime	1897445		0	dsDNA viruses, no RNA stage	Siphoviridae	58.129	68.2	bacteria	KX688047.1	92	92	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage Baehexic	1897448		0	dsDNA viruses, no RNA stage	Siphoviridae	53.111	63.5	bacteria	KX683875.1	97	97	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage CactusRose	1897449		0	dsDNA viruses, no RNA stage	Siphoviridae	52.659	63.8	bacteria	KX683876.1	97	97	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage Florean	1897483		0	dsDNA viruses, no RNA stage	Siphoviridae	51.371	63.9	bacteria	KX557234.1	88	88	2016/09/21	2017/12/05	Complete Genome
Mycobacterium phage Qobbit	1897484		0	dsDNA viruses, no RNA stage	Siphoviridae	52.911	62.6	bacteria	KX685355.1	97	96	2016/10/08	2017/12/05	Complete Genome
Mycobacterium phage BabyRay	1897486		0	dsDNA viruses, no RNA stage	Siphoviridae	50.657	63.6	bacteria	KX683423.1	93	92	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Phaeder	1897487		0	dsDNA viruses, no RNA stage	Siphoviridae	53.3	62.6	bacteria	KX664447.1	100	99	2016/10/29	2017/12/05	Complete Genome
Mycobacterium phage Watson	1897489		0	dsDNA viruses, no RNA stage	Siphoviridae	50.841	64	bacteria	KX664448.1	89	89	2016/10/29	2017/12/05	Complete Genome
Mycobacterium phage Todacoro	1897490		0	dsDNA viruses, no RNA stage	Siphoviridae	50.066	64	bacteria	KX670828.1	90	88	2016/10/08	2017/12/05	Complete Genome
Escherichia phage ESCO5	1897495		0	dsDNA viruses, no RNA stage	Myoviridae	149.312	39	bacteria	KX664695.2	275	265	2016/10/07	2017/02/08	Complete Genome
Mycobacterium phage Margo	1897496		0	dsDNA viruses, no RNA stage	Siphoviridae	50.087	64	bacteria	KX640831.1	90	88	2016/10/08	2017/12/05	Complete Genome
Mycobacterium phage Tortellini	1897497		0	dsDNA viruses, no RNA stage	Siphoviridae	49.658	65.8	bacteria	KX648391.1	76	76	2016/10/08	2017/11/07	Complete Genome
Mycobacterium phage Zombie	1897498		0	dsDNA viruses, no RNA stage	Siphoviridae	41.901	66.6	bacteria	KX664455.1	63	63	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Cocoaberry	1897499		0	dsDNA viruses, no RNA stage	Siphoviridae	51.376	64	bacteria	KX648373.1	89	89	2016/10/08	2017/12/05	Complete Genome
Mycobacterium phage Taquito	1897500		0	dsDNA viruses, no RNA stage	Siphoviridae	58.39	67.5	bacteria	KX621007.1	95	94	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Kersh	1897501		0	dsDNA viruses, no RNA stage	Siphoviridae	60.19	61.2	bacteria	KX610764.1	107	107	2016/10/08	2016/10/08	Complete Genome
Arthrobacter phage Prospero	1897502		0	dsDNA viruses, no RNA stage	Siphoviridae	15.556	60.1	bacteria	KX610765.1	26	26	2016/10/08	2017/10/12	Complete Genome
Mycobacterium phage Jerm	1897503		0	dsDNA viruses, no RNA stage	Siphoviridae	53.163	-	bacteria	-	-	-	-	-	Complete Genome
Mycobacterium phage Roosevelt	1897504		0	dsDNA viruses, no RNA stage	Siphoviridae	51.502	-	bacteria	-	-	-	-	-	Complete Genome
Mycobacterium phage Pharsalus	1897505		0	dsDNA viruses, no RNA stage	Siphoviridae	75.779	63	bacteria	KX611831.1	144	142	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Zakai	1897506		0	dsDNA viruses, no RNA stage	Siphoviridae	76.363	58.9	bacteria	KX580961.1	146	132	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Wilder	1897507		0	dsDNA viruses, no RNA stage	Siphoviridae	75.806	58.9	bacteria	KX580962.1	144	130	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage HedwigODU	1897516		0	dsDNA viruses, no RNA stage	Siphoviridae	59.812	66.6	bacteria	KX585253.1	96	95	2016/09/21	2016/09/21	Complete Genome
Mycobacterium phage HortumSL17	1897517		0	dsDNA viruses, no RNA stage	Siphoviridae	53.426	62.6	bacteria	KX585252.1	101	100	2016/09/21	2017/12/05	Complete Genome
Mycobacterium phage Waterfoul	1897518		0	dsDNA viruses, no RNA stage	Siphoviridae	61.248	32.45	bacteria	KX585251.1	95	94	2016/09/21	2018/03/23	Complete Genome
Mycobacterium phage Louie6	1897523		0	dsDNA viruses, no RNA stage	Siphoviridae	50.899	64.2	bacteria	KX670788.1	92	89	2016/11/02	2017/12/05	Complete Genome
Streptomyces phage OlympicHelado	1897524		0	dsDNA viruses, no RNA stage	Siphoviridae	56.189	59.5	bacteria	KX670789.1	88	88	2016/11/02	2016/11/02	Complete Genome
Streptomyces phage Rima	1897525		0	dsDNA viruses, no RNA stage	Siphoviridae	56.168	-	bacteria	-	-	-	-	-	Complete Genome
Arthrobacter phage Chocolat	1897526		0	dsDNA viruses, no RNA stage	Myoviridae	69.798	61.7	bacteria	KX670787.1	111	111	2016/11/02	2016/11/02	Complete Genome
Arthrobacter phage Chubster	1897527		0	dsDNA viruses, no RNA stage	Myoviridae	70.258	61.7	bacteria	KX670786.1	112	112	2016/11/02	2016/11/02	Complete Genome
Propionibacterium phage Anatole	1897531		0	dsDNA viruses, no RNA stage	Siphoviridae	35.284	64.4	bacteria	KX620748.1	55	55	2016/10/08	2018/01/31	Complete Genome
Propionibacterium phage B22	1897532		0	dsDNA viruses, no RNA stage	Siphoviridae	37.219	65.5	bacteria	KX620750.1	61	61	2016/10/08	2018/01/31	Complete Genome
Propionibacterium phage B3	1897533		0	dsDNA viruses, no RNA stage	Siphoviridae	35.948	64.4	bacteria	KX620749.1	57	57	2016/10/08	2018/01/31	Complete Genome
Propionibacterium phage Doucette	1897534		0	dsDNA viruses, no RNA stage	Siphoviridae	37.429	65.6	bacteria	KX620751.1	61	61	2016/10/08	2018/01/31	Complete Genome
Propionibacterium phage E1	1897535		0	dsDNA viruses, no RNA stage	Siphoviridae	35.209	64.4	bacteria	KX620752.1	55	55	2016/10/08	2018/01/31	Complete Genome
Propionibacterium phage E6	1897536		0	dsDNA viruses, no RNA stage	Siphoviridae	38.067	65.2	bacteria	KX620753.1	60	60	2016/10/08	2018/01/31	Complete Genome
Propionibacterium phage G4	1897537		0	dsDNA viruses, no RNA stage	Siphoviridae	38.555	65.7	bacteria	KX620754.1	69	69	2016/10/08	2018/01/31	Complete Genome
Leuconostoc phage LDG	1897539		0	dsDNA viruses, no RNA stage	Siphoviridae	26.559	36.3	bacteria	KX555527.1	-	40	2017/07/06	2017/07/06	Complete Genome
Mycobacterium phage Mundrea	1897540		0	dsDNA viruses, no RNA stage	Siphoviridae	51.257	64	bacteria	KX579975.1	87	87	2016/09/21	2017/12/05	Complete Genome
Rhodococcus phage Natosaleda	1897541		0	dsDNA viruses, no RNA stage	Siphoviridae	46.527	58.6	bacteria	KX550082.1	68	65	2016/09/21	2016/09/21	Complete Genome
Mycobacterium phage PacerPaul	1897542		0	dsDNA viruses, no RNA stage	Siphoviridae	52.732	63.6	bacteria	KX574454.1	93	93	2016/09/21	2016/09/21	Complete Genome
Mycobacterium phage Pomar16	1897543		0	dsDNA viruses, no RNA stage	Siphoviridae	52.833	63.4	bacteria	KX574455.1	98	93	2016/09/21	2017/12/05	Complete Genome
Mycobacterium phage Isiphiwo	1897544		0	dsDNA viruses, no RNA stage	Siphoviridae	51.91	61.6	bacteria	KX641261.1	99	96	2016/10/08	2017/12/05	Complete Genome
Mycobacterium phage Kalpine	1897545		0	dsDNA viruses, no RNA stage	Siphoviridae	53.33	64.4	bacteria	KX641263.1	98	96	2016/10/08	2017/12/07	Complete Genome
Mycobacterium phage LindNT	1897546		0	dsDNA viruses, no RNA stage	Siphoviridae	60.053	66.8	bacteria	KX641264.1	94	93	2016/10/08	2017/12/04	Complete Genome
Mycobacterium phage Nazo	1897547		0	dsDNA viruses, no RNA stage	Siphoviridae	48.87	66.8	bacteria	KX641262.1	83	83	2016/10/08	2017/11/07	Complete Genome
Mycobacterium phage Stasia	1897548		0	dsDNA viruses, no RNA stage	Siphoviridae	51.591	63.6	bacteria	KX641260.1	86	85	2016/10/08	2017/12/05	Complete Genome
Mycobacterium phage Taheera	1897549		0	dsDNA viruses, no RNA stage	Siphoviridae	41.077	66.4	bacteria	KX641265.1	60	60	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Terror	1897550		0	dsDNA viruses, no RNA stage	Siphoviridae	41.077	66.4	bacteria	KX641266.1	60	60	2016/10/08	2016/10/08	Complete Genome
Rhodococcus phage Harlequin	1897551		0	dsDNA viruses, no RNA stage	Siphoviridae	46.383	58.8	bacteria	KX611788.1	69	66	2016/10/08	2016/10/08	Complete Genome
Arthrobacter phage Suppi	1897553		0	dsDNA viruses, no RNA stage	Siphoviridae	43.914	61.2	bacteria	KX621004.1	62	62	2016/10/08	2016/10/08	Complete Genome
Arthrobacter phage Vallejo	1897554		0	dsDNA viruses, no RNA stage	Siphoviridae	43.607	61	bacteria	KX621005.1	62	62	2016/10/08	2016/10/08	Complete Genome
Streptococcus phage SpGS-1	1897555		0	dsDNA viruses, no RNA stage	Siphoviridae	37.631	38.3	bacteria	KX550065.1	-	53	2016/09/21	2016/09/21	Complete Genome
Ochrobactrum phage POA1180	1897640		0	unclassified phages	unclassified	41.655	56.6	bacteria	KX669658.1	58	58	2017/07/19	2017/07/19	Complete Genome
Escherichia phage ZG49	1897641		0	dsDNA viruses, no RNA stage	Podoviridae	40.291	-	bacteria	-	-	-	-	-	Complete Genome
Leuconostoc phage Ln-7	1897736		0	dsDNA viruses, no RNA stage	Siphoviridae	28.093	36.3	bacteria	KX578042.1	-	47	2017/07/06	2017/07/06	Complete Genome
Leuconostoc phage CHB	1897737		0	dsDNA viruses, no RNA stage	Siphoviridae	28.265	35.9	bacteria	KX578043.1	-	45	2017/07/06	2017/07/06	Complete Genome
Leuconostoc phage CHA	1897738		0	dsDNA viruses, no RNA stage	Siphoviridae	28.142	36	bacteria	KX578044.1	-	43	2017/07/06	2017/07/06	Complete Genome
Pectobacterium phage PP2	1897743		0	unclassified phages	unclassified	41.841	51.6	bacteria	KX756572.1	47	47	2017/04/25	2017/04/25	Complete Genome
Vibrio phage Cla	1897745		0	unclassified phages	unclassified	53.226	43	bacteria	KX581091.3	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage Her	1897746		0	unclassified phages	unclassified	53.226	43	bacteria	KX581090.3	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage Len	1897747		0	unclassified phages	unclassified	53.226	43	bacteria	KX581092.2	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage Pel	1897748		0	unclassified phages	unclassified	53.227	43	bacteria	KX581093.3	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage Strym	1897749		0	unclassified phages	unclassified	53.226	43	bacteria	KX581099.3	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage VaK	1897750		0	unclassified phages	unclassified	53.216	43.1	bacteria	KX581098.3	92	91	2017/04/05	2017/06/12	Complete Genome
Vibrio phage pVa-1	1897751		0	unclassified phages	unclassified	53.227	43	bacteria	KX581095.3	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage pVa-2	1897752		0	unclassified phages	unclassified	53.286	43	bacteria	KX581094.3	90	89	2017/04/05	2017/06/12	Complete Genome
Vibrio phage pVa-5	1897753		0	unclassified phages	unclassified	53.227	43	bacteria	KX581096.3	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage pVa-6	1897754		0	unclassified phages	unclassified	53.227	43	bacteria	KX581097.3	91	90	2017/04/05	2017/06/12	Complete Genome
Vibrio phage pVa-7	1897755		0	unclassified phages	unclassified	54.268	43.1	bacteria	KX581100.3	93	92	2017/04/05	2017/06/12	Complete Genome
Arthrobacter phage Lucy	1897761		0	dsDNA viruses, no RNA stage	Siphoviridae	42.944	60.7	bacteria	KX576641.1	60	60	2016/09/21	2016/09/21	Complete Genome
Arthrobacter phage Massimo	1897762		0	dsDNA viruses, no RNA stage	Siphoviridae	15.556	60.1	bacteria	KX576642.1	26	26	2016/09/21	2017/10/12	Complete Genome
Arthrobacter phage RcigaStruga	1897763		0	dsDNA viruses, no RNA stage	Siphoviridae	43.891	60.7	bacteria	KX576640.1	62	62	2016/09/21	2016/09/21	Complete Genome
Mycobacterium phage DudeLittle	1897766		0	dsDNA viruses, no RNA stage	Siphoviridae	52.917	63.5	bacteria	KX576639.1	94	94	2016/09/21	2017/12/05	Complete Genome
Mycobacterium phage WillSterrel	1897769		0	dsDNA viruses, no RNA stage	Siphoviridae	58.608	61.6	bacteria	KX576644.1	104	104	2016/09/21	2016/09/21	Complete Genome
Mycobacterium phage Gruunaga	1897770		0	dsDNA viruses, no RNA stage	Siphoviridae	52.195	61.4	bacteria	KX576638.1	104	101	2016/09/21	2017/12/05	Complete Genome
Acidianus two-tailed virus 2	1898549		0	dsDNA viruses, no RNA stage	Bicaudaviridae	57.9	40.7	archaea	KX607101.1	-	63	2016/09/14	2016/09/14	Complete Genome
Acidianus two-tailed virus variant 1	1898550		0	dsDNA viruses, no RNA stage	Bicaudaviridae	61.783	41.3	archaea	KX607102.1	-	66	2016/09/14	2016/09/14	Complete Genome
Liberibacter phage HHCA1-2	1903185		0	unclassified phages	unclassified	38.989	39.3	bacteria	KX879602.1	44	44	2016/12/23	2016/12/23	Complete Genome
Campylobacter phage vB_CjeM_Los1	1904491		0	unclassified phages	unclassified	134.073	26.2	bacteria	KX879627.1	169	169	2016/10/08	2016/10/08	Complete Genome
Klebsiella phage KP-Rio/2015	1904925		0	dsDNA viruses, no RNA stage	Podoviridae	43.557	54.1	bacteria	KX856662.1	47	47	2016/10/08	2016/10/08	Complete Genome
Leptospira phage Lin_34	1905713		0	unclassified phages	unclassified	87.308	39.4	bacteria	KX656785.1	-	-	2016/10/08	2016/10/08	Complete Genome
Mycobacterium phage Goldilocks	1906944		0	dsDNA viruses, no RNA stage	Siphoviridae	75.728	62.9	bacteria	KX834009.1	152	150	2016/10/29	2016/10/29	Complete Genome
Klebsiella phage vB_KpnP_PRA33	1907781		0	unclassified phages	unclassified	40.605	52.5	bacteria	KY652723.1	52	52	2017/03/29	2017/12/15	Complete Genome
Klebsiella phage vB_KpnP_BIS33	1907782		0	unclassified phages	unclassified	41.697	52.7	bacteria	KY652725.1	56	56	2017/03/29	2017/12/15	Complete Genome
Klebsiella phage vB_KpnP_IL33	1907783		0	unclassified phages	unclassified	41.335	52.5	bacteria	KY652724.1	54	54	2017/03/29	2017/12/15	Complete Genome
Klebsiella phage vB_KpnM_BIS47	1907784		0	unclassified phages	unclassified	147.443	44.6	bacteria	KY652726.1	262	262	2017/03/29	2017/10/23	Complete Genome
Salmonella phage STP07	1908549		0	unclassified phages	unclassified	160.342	44.5	bacteria	KY000003.1	210	210	2017/04/30	2017/04/30	Complete Genome
Bacillus phage QCM11	1909400		0	dsDNA viruses, no RNA stage	Podoviridae	26.054	30.4	bacteria	KX961631.1	41	41	2016/11/02	2016/11/02	Complete Genome
Bacillus phage SBP8a	1909401		0	unclassified phages	unclassified	161.643	38.7	bacteria	KX961632.1	301	298	2016/11/02	2016/11/02	Complete Genome
Bacillus phage BJ4	1909402		0	dsDNA viruses, no RNA stage	Myoviridae	160.732	38.7	bacteria	KX961629.1	301	298	2016/11/02	2016/11/02	Complete Genome
Bacillus phage QCM8	1909403		0	dsDNA viruses, no RNA stage	Myoviridae	164.911	39.9	bacteria	KX961630.1	301	288	2016/11/02	2016/11/02	Complete Genome
Rathayibacter phage NCPPB3778	1909694		0	dsDNA viruses, no RNA stage	Siphoviridae	44.52	52.9	bacteria	KX911187.2	77	77	2017/02/06	2017/09/01	Complete Genome
Escherichia phage ID52	338108		0	ssDNA viruses	Microviridae	5.538	45.9	bacteria	DQ079877.1	11	11	2006/01/24	2006/01/24	Complete Genome
Escherichia phage K1ind1	698488		0	dsDNA viruses, no RNA stage	Siphoviridae	42.292	51.3	bacteria	GU196279.1	-	51	2010/01/04	2010/01/04	Complete Genome
Escherichia phage K1-ind(2)	698489		0	dsDNA viruses, no RNA stage	Siphoviridae	42.765	51.3	bacteria	GU196280.1	-	48	2010/01/04	2010/01/04	Complete Genome
Klebsiella phage vB_Kpn_IME260	1912318		0	dsDNA viruses, no RNA stage	Siphoviridae	123.49	45.4	bacteria	KX845404.2	-	149	2016/11/02	2017/01/13	Complete Genome
Klebsiella phage vB_KpnP_KpV48	1912319		0	dsDNA viruses, no RNA stage	unclassified	44.623	54.1	bacteria	KX237514.1	57	57	2016/11/02	2016/11/02	Complete Genome
Klebsiella phage vB_KpnS_KpV522	1912320		0	dsDNA viruses, no RNA stage	unclassified	51.099	50.8	bacteria	KX237515.1	79	79	2016/11/02	2016/11/02	Complete Genome
Klebsiella phage vB_KpnM_KpV52	1912321		0	dsDNA viruses, no RNA stage	unclassified	47.405	49	bacteria	KX237516.1	75	75	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage DarthPhader	1912975		0	dsDNA viruses, no RNA stage	Siphoviridae	53.432	63.2	bacteria	KX657793.1	92	91	2016/11/02	2017/12/05	Complete Genome
Mycobacterium phage DrHayes	1912976		0	dsDNA viruses, no RNA stage	Siphoviridae	60.526	66.2	bacteria	KX657795.1	98	97	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage SamuelLPlaqson	1912977		0	dsDNA viruses, no RNA stage	Siphoviridae	60.526	66.2	bacteria	KX657794.1	98	97	2016/11/02	2016/11/02	Complete Genome
Mycobacterium phage Urkel	1912978		0	dsDNA viruses, no RNA stage	Siphoviridae	60.526	66.2	bacteria	KX657796.1	98	97	2016/11/02	2016/11/02	Complete Genome
Streptomyces phage Joe	1913034		0	dsDNA viruses, no RNA stage	Siphoviridae	48.941	65.5	bacteria	KX815338.1	81	81	2016/11/19	2016/11/19	Complete Genome
Mycobacterium phage Amelie	1913035		0	dsDNA viruses, no RNA stage	Siphoviridae	56.439	67.1	bacteria	KX808132.1	77	77	2016/11/19	2016/11/19	Complete Genome
Mycobacterium phage Broseidon	1913036		0	dsDNA viruses, no RNA stage	Siphoviridae	51.374	63.9	bacteria	KX808130.1	88	88	2016/11/19	2016/11/19	Complete Genome
Mycobacterium phage Sabinator	1913037		0	dsDNA viruses, no RNA stage	Siphoviridae	50.883	64	bacteria	KX808129.1	91	88	2016/11/19	2016/11/19	Complete Genome
Mycobacterium phage SuperGrey	1913038		0	dsDNA viruses, no RNA stage	Siphoviridae	59.346	61.7	bacteria	KX808131.1	103	103	2016/11/19	2016/11/19	Complete Genome
Salmonella phage S8	1913039		0	dsDNA viruses, no RNA stage	Myoviridae	158.432	44.5	bacteria	KY630163.1	212	208	2017/09/01	2017/09/01	Complete Genome
Mycobacterium phage Albee	1913041		0	dsDNA viruses, no RNA stage	Siphoviridae	51.372	63.9	bacteria	KX817175.1	88	88	2016/11/19	2016/11/19	Complete Genome
Mycobacterium phage LittleB	1913042		0	dsDNA viruses, no RNA stage	Siphoviridae	51.373	63.9	bacteria	KX817174.1	88	88	2016/11/19	2016/11/19	Complete Genome
Mycobacterium phage Tuco	1913043		0	dsDNA viruses, no RNA stage	Siphoviridae	76.944	63	bacteria	KX817173.1	150	148	2016/11/19	2016/11/19	Complete Genome
Mycobacterium phage Lukilu	1913044		0	dsDNA viruses, no RNA stage	Myoviridae	157.034	64.7	bacteria	KX831080.1	256	221	2016/11/23	2016/11/23	Complete Genome
Pseudoalteromonas phage PH357	1913046		0	unclassified phages	unclassified	136.203	34.6	bacteria	KX822733.1	-	242	2017/04/27	2017/04/27	Complete Genome
Salmonella phage UPF_BP2	1913047		0	dsDNA viruses, no RNA stage	unclassified	54.894	46	bacteria	KX826077.1	-	70	2017/09/07	2017/09/07	Complete Genome
Shigella phage SH6	1913048		0	dsDNA viruses, no RNA stage	Siphoviridae	50.552	45.8	bacteria	KX828710.1	82	82	2016/11/19	2016/11/19	Complete Genome
Shigella phage SH7	1913049		0	unclassified phages	unclassified	164.87	35.4	bacteria	KX828711.1	265	265	2016/11/19	2016/11/19	Complete Genome
Arthrobacter phage EdgarPoe	1913079		0	dsDNA viruses, no RNA stage	Myoviridae	70.176	61.6	bacteria	KX855961.1	111	111	2016/11/19	2016/11/19	Complete Genome
Arthrobacter phage HumptyDumpty	1913080		0	dsDNA viruses, no RNA stage	Myoviridae	69.978	61.7	bacteria	KX855962.1	111	111	2016/11/19	2016/11/19	Complete Genome
Streptococcus phage CHPC577	1913081		0	dsDNA viruses, no RNA stage	Siphoviridae	35.129	36.8	bacteria	KX879641.1	50	50	2017/01/03	2017/01/03	Complete Genome
Streptococcus phage CHPC926	1913082		0	dsDNA viruses, no RNA stage	Siphoviridae	30.077	37	bacteria	KX879642.1	44	44	2017/01/03	2017/01/03	Complete Genome
Streptococcus phage CHPC1151	1913083		0	dsDNA viruses, no RNA stage	Siphoviridae	33.507	38.5	bacteria	KX879643.1	46	46	2017/01/03	2017/01/03	Complete Genome
Halomonas phage QHHSV-1	1913108		0	dsDNA viruses, no RNA stage	Siphoviridae	37.27	66.8	bacteria	KX879752.1	69	69	2016/11/19	2016/11/19	Complete Genome
Vibrio phage vB_VspP_pVa5	1913109		0	dsDNA viruses, no RNA stage	Podoviridae	78.145	43.2	bacteria	KX889068.2	107	106	2016/11/19	2017/08/28	Complete Genome
Mycobacterium phage StarStuff	1913110		0	dsDNA viruses, no RNA stage	Siphoviridae	52.785	63.5	bacteria	KX897981.1	98	93	2016/11/19	2017/12/05	Complete Genome
